,Gender,Marital_Status,Number_of_Dependents,Education,Loan_Status,Annual_Income,Credit_Score,Loan_Amount,Term,Property_Area,Loan_Approval
62,Male,Yes,3,Not Graduate,Yes,8135.0,2627.0,7452.0,180,Urban,No
63,Male,Yes,1,Not Graduate,Yes,7796.0,1083.0,3646.0,360,Urban,No
64,Female,Yes,0,Graduate,No,5065.0,2858.0,6467.0,180,Urban,Yes
65,Male,No,0,Not Graduate,No,1946.0,3162.0,6008.0,180,Semiurban,No
66,Male,No,2,Not Graduate,Yes,10800.0,1670.0,7051.0,180,Semiurban,Yes
67,Male,Yes,0,Not Graduate,No,11851.0,4327.0,5021.0,180,Rural,Yes
68,Female,Yes,1,Graduate,Yes,6669.0,4814.0,6962.0,180,Semiurban,No
69,Female,Yes,3,Graduate,No,7355.0,1823.0,5578.0,360,Rural,Yes
70,Male,Yes,3,Not Graduate,No,2585.0,3844.0,1859.0,180,Rural,Yes
71,Female,No,2,Graduate,Yes,4320.0,3520.0,8247.0,180,Rural,No
72,Male,Yes,0,Not Graduate,Yes,2381.0,4451.0,4774.0,360,Rural,No
73,Female,Yes,1,Not Graduate,No,4195.0,2382.0,1153.0,180,Rural,No
74,Male,Yes,2,Graduate,No,9325.0,4918.0,5120.0,180,Rural,Yes
75,Male,Yes,3,Not Graduate,Yes,5752.0,2213.0,6526.0,180,Urban,No
76,Female,Yes,0,Not Graduate,No,7841.0,1730.0,1707.0,360,Rural,No
77,Male,No,2,Not Graduate,No,10518.0,3177.0,2330.0,360,Urban,No
78,Female,Yes,1,Graduate,No,9787.0,4930.0,4759.0,360,Rural,Yes
79,Male,Yes,2,Not Graduate,No,7106.0,3415.0,3499.0,360,Semiurban,No
80,Female,No,2,Graduate,Yes,9612.0,539.0,6787.0,180,Semiurban,No
81,Male,No,3,Graduate,No,6669.0,2466.0,8520.0,360,Urban,No
82,Male,Yes,2,Graduate,Yes,8593.0,4484.0,4227.0,180,Rural,Yes
83,Female,No,1,Graduate,No,11667.0,1547.0,4641.0,180,Semiurban,Yes
84,Female,Yes,3,Not Graduate,Yes,11071.0,2815.0,5329.0,180,Rural,No
85,Female,No,3,Not Graduate,Yes,6669.0,4779.0,8710.0,180,Urban,Yes
86,Female,No,1,Graduate,Yes,6669.0,2134.0,9273.0,360,Semiurban,No
87,Male,Yes,1,Graduate,Yes,9724.0,858.0,5021.0,360,Rural,Yes
88,Male,Yes,0,Not Graduate,No,3503.0,877.0,7234.0,360,Semiurban,Yes
89,Male,Yes,2,Graduate,No,1638.0,111.0,4735.0,360,Rural,No
90,Male,Yes,3,Graduate,Yes,4314.0,2332.0,7212.0,180,Rural,No
91,Female,Yes,3,Not Graduate,Yes,6750.0,1017.0,3493.0,360,Rural,No
92,Male,Yes,3,Graduate,Yes,9305.0,4576.0,7112.0,180,Semiurban,Yes
93,Male,No,0,Graduate,Yes,8691.0,755.0,2807.0,180,Rural,Yes
94,Male,Yes,0,Graduate,No,10048.0,554.0,5021.0,360,Urban,No
95,Male,Yes,1,Not Graduate,Yes,6669.0,3286.0,5021.0,360,Rural,No
96,Male,Yes,2,Graduate,No,8837.0,3135.0,3804.0,360,Urban,Yes
97,Female,Yes,1,Not Graduate,Yes,6669.0,3803.0,8665.0,180,Semiurban,Yes
98,Male,Yes,1,Not Graduate,Yes,1731.0,1716.0,3983.0,180,Rural,No
99,Male,Yes,0,Graduate,No,2270.0,1625.0,9661.0,180,Semiurban,No
100,Female,No,2,Graduate,No,11530.0,1269.0,5021.0,180,Urban,No
101,Female,No,3,Not Graduate,Yes,8685.0,3727.0,1272.0,360,Urban,Yes
102,Female,Yes,2,Not Graduate,No,3090.0,1480.0,6665.0,180,Rural,No
103,Male,No,3,Graduate,Yes,2080.0,2627.0,5021.0,180,Rural,Yes
104,Female,Yes,3,Not Graduate,No,8057.0,273.0,187.0,360,Urban,Yes
105,Male,No,0,Graduate,No,10765.0,3086.0,2948.0,360,Semiurban,Yes
106,Female,No,0,Graduate,No,6408.0,3170.0,4760.0,360,Rural,No
107,Male,No,2,Not Graduate,No,2151.0,2256.0,2511.0,180,Urban,No
108,Female,Yes,0,Graduate,No,11843.0,2602.0,3660.0,180,Urban,No
109,Female,Yes,2,Not Graduate,Yes,4420.0,3680.0,1666.0,360,Semiurban,Yes
110,Female,No,1,Graduate,Yes,9111.0,1205.0,5021.0,360,Urban,No
111,Female,No,1,Not Graduate,No,8407.0,2383.0,8023.0,180,Urban,Yes
112,Male,No,3,Graduate,Yes,10439.0,2522.0,1351.0,180,Rural,No
113,Male,No,3,Not Graduate,Yes,6669.0,2627.0,8670.0,180,Urban,Yes
114,Female,Yes,3,Not Graduate,No,4477.0,4873.0,5021.0,180,Urban,No
115,Female,No,0,Graduate,Yes,4630.0,1740.0,4726.0,360,Rural,Yes
116,Female,No,1,Not Graduate,Yes,6022.0,713.0,5246.0,180,Semiurban,Yes
117,Male,No,3,Graduate,Yes,11922.0,1464.0,348.0,180,Rural,Yes
118,Female,Yes,1,Not Graduate,Yes,6202.0,3181.0,5419.0,360,Semiurban,Yes
119,Male,No,3,Graduate,Yes,6669.0,791.0,6750.0,360,Semiurban,No
120,Female,No,0,Graduate,No,3023.0,272.0,5021.0,180,Urban,No
121,Female,Yes,1,Not Graduate,No,6669.0,4858.0,2733.0,360,Urban,Yes
122,Female,No,3,Not Graduate,No,10833.0,4146.0,3806.0,360,Semiurban,No
123,Male,Yes,0,Not Graduate,No,6993.0,1096.0,5764.0,180,Semiurban,No
124,Male,No,2,Not Graduate,Yes,4447.0,3170.0,1823.0,360,Semiurban,No
125,Male,Yes,1,Not Graduate,Yes,6669.0,4047.0,5334.0,360,Urban,No
126,Male,No,2,Not Graduate,No,8286.0,439.0,846.0,360,Urban,Yes
127,Male,Yes,1,Graduate,Yes,2155.0,1580.0,6792.0,360,Rural,Yes
128,Male,No,3,Not Graduate,No,6190.0,2165.0,5694.0,360,Urban,Yes
129,Male,Yes,2,Not Graduate,No,8062.0,4898.0,1027.0,180,Semiurban,Yes
130,Male,Yes,2,Graduate,Yes,7265.0,1793.0,2459.0,360,Semiurban,No
131,Female,No,3,Not Graduate,No,9518.0,4289.0,725.0,180,Rural,No
132,Male,Yes,0,Not Graduate,No,10982.0,316.0,5021.0,180,Semiurban,Yes
133,Male,Yes,2,Not Graduate,No,2064.0,2041.0,9305.0,180,Rural,Yes
134,Female,No,1,Graduate,Yes,10248.0,2066.0,5021.0,360,Rural,No
135,Male,No,2,Graduate,Yes,9214.0,3248.0,9482.0,180,Urban,No
136,Male,No,0,Graduate,Yes,9381.0,2627.0,6162.0,180,Semiurban,Yes
137,Male,Yes,1,Not Graduate,Yes,7227.0,4935.0,9513.0,360,Semiurban,Yes
138,Male,Yes,1,Graduate,Yes,5535.0,4785.0,7957.0,180,Semiurban,Yes
139,Male,Yes,3,Graduate,No,10524.0,3370.0,7060.0,180,Rural,Yes
140,Female,No,3,Not Graduate,No,11245.0,1871.0,7982.0,360,Rural,No
141,Female,Yes,1,Not Graduate,No,5972.0,2518.0,462.0,360,Rural,No
142,Male,Yes,2,Graduate,No,3737.0,4066.0,1861.0,180,Urban,Yes
143,Male,No,1,Graduate,No,8763.0,4079.0,245.0,360,Urban,Yes
144,Male,No,2,Not Graduate,No,11307.0,621.0,1601.0,180,Rural,No
145,Male,No,2,Graduate,No,2684.0,3370.0,2066.0,180,Semiurban,Yes
146,Female,No,1,Not Graduate,No,6752.0,1715.0,6541.0,360,Rural,No
147,Male,Yes,1,Graduate,Yes,7296.0,3050.0,1155.0,180,Semiurban,Yes
148,Female,Yes,3,Graduate,No,11145.0,3238.0,1417.0,360,Urban,No
149,Male,Yes,1,Graduate,Yes,5870.0,2627.0,1401.0,360,Urban,Yes
150,Female,Yes,2,Graduate,No,10734.0,4854.0,9420.0,360,Semiurban,No
151,Female,No,2,Graduate,No,6564.0,1006.0,2160.0,180,Urban,Yes
152,Male,No,2,Graduate,Yes,2731.0,3765.0,5722.0,180,Semiurban,No
153,Male,Yes,3,Graduate,No,6669.0,3804.0,6187.0,180,Urban,No
154,Female,No,1,Not Graduate,Yes,2679.0,2388.0,5515.0,360,Rural,No
155,Female,Yes,3,Not Graduate,No,7203.0,961.0,9884.0,180,Semiurban,Yes
156,Male,Yes,1,Graduate,Yes,6602.0,3988.0,2741.0,360,Urban,No
157,Female,No,1,Not Graduate,No,6669.0,991.0,3660.0,180,Semiurban,Yes
158,Male,No,2,Graduate,No,6055.0,3111.0,5021.0,180,Urban,No
159,Male,No,0,Graduate,Yes,10360.0,628.0,5021.0,180,Urban,Yes
160,Male,No,0,Not Graduate,No,2150.0,1960.0,3028.0,360,Semiurban,No
161,Male,Yes,3,Not Graduate,Yes,8941.0,1756.0,4799.0,360,Rural,No
162,Male,No,1,Graduate,No,6575.0,2621.0,2968.0,180,Rural,No
163,Female,No,1,Graduate,No,6702.0,2539.0,9072.0,180,Urban,No
164,Male,Yes,2,Graduate,No,2456.0,4004.0,6243.0,360,Urban,No
165,Male,No,0,Not Graduate,No,2414.0,3974.0,4927.0,360,Rural,Yes
166,Male,No,2,Graduate,No,2621.0,897.0,4153.0,360,Rural,No
167,Female,No,0,Graduate,Yes,6818.0,2584.0,8816.0,360,Semiurban,Yes
168,Female,No,1,Not Graduate,No,7587.0,2647.0,1756.0,360,Rural,No
169,Male,No,0,Not Graduate,Yes,2786.0,3012.0,5277.0,360,Urban,Yes
170,Female,No,2,Graduate,No,2271.0,1384.0,771.0,180,Urban,No
171,Female,Yes,2,Not Graduate,No,2753.0,4228.0,4899.0,360,Rural,No
172,Male,Yes,0,Not Graduate,No,11444.0,3333.0,4567.0,360,Semiurban,No
173,Female,No,2,Not Graduate,Yes,10910.0,2627.0,745.0,360,Semiurban,No
174,Female,Yes,3,Not Graduate,No,6505.0,3800.0,5021.0,180,Urban,Yes
175,Female,Yes,0,Not Graduate,Yes,9663.0,2853.0,8499.0,180,Semiurban,No
176,Female,No,0,Graduate,Yes,10217.0,2627.0,705.0,360,Rural,Yes
177,Male,No,0,Not Graduate,Yes,6669.0,2965.0,1474.0,360,Semiurban,Yes
178,Male,No,2,Graduate,Yes,4812.0,2722.0,6591.0,180,Semiurban,Yes
179,Male,Yes,2,Graduate,No,4652.0,37.0,7000.0,180,Urban,No
180,Female,No,2,Graduate,No,10991.0,2214.0,1505.0,360,Rural,Yes
181,Male,Yes,0,Graduate,No,8518.0,4491.0,2597.0,360,Rural,No
182,Male,Yes,3,Not Graduate,No,6669.0,3674.0,417.0,360,Urban,No
183,Female,Yes,0,Not Graduate,No,11213.0,2627.0,1765.0,180,Urban,Yes
184,Female,Yes,1,Not Graduate,Yes,6669.0,2122.0,2009.0,360,Rural,No
185,Female,Yes,2,Not Graduate,No,10143.0,22.0,5021.0,360,Urban,Yes
186,Male,No,2,Not Graduate,Yes,3017.0,1820.0,7976.0,180,Rural,No
187,Female,Yes,3,Not Graduate,Yes,4623.0,4893.0,6866.0,360,Urban,No
188,Male,Yes,0,Graduate,Yes,8835.0,1165.0,9327.0,180,Rural,No
189,Female,Yes,1,Graduate,No,3110.0,4217.0,700.0,180,Urban,No
190,Female,No,2,Graduate,No,4112.0,308.0,9710.0,180,Semiurban,Yes
191,Female,Yes,3,Graduate,Yes,7774.0,2102.0,1196.0,360,Semiurban,Yes
192,Female,No,0,Graduate,No,6669.0,2225.0,6603.0,180,Semiurban,No
193,Female,Yes,1,Graduate,No,8398.0,2882.0,873.0,360,Rural,No
194,Male,Yes,3,Graduate,No,4139.0,2331.0,4046.0,360,Urban,Yes
195,Female,No,2,Graduate,Yes,7142.0,1496.0,3038.0,360,Urban,No
196,Male,No,1,Not Graduate,No,9960.0,3840.0,3760.0,180,Rural,Yes
197,Female,No,2,Graduate,Yes,1960.0,3178.0,3935.0,180,Rural,No
198,Female,No,1,Graduate,No,3804.0,2000.0,7341.0,360,Rural,No
199,Male,Yes,1,Graduate,No,8083.0,1595.0,2813.0,360,Rural,No
200,Male,Yes,0,Not Graduate,Yes,1556.0,1348.0,8641.0,180,Rural,Yes
201,Female,Yes,1,Not Graduate,No,10991.0,1459.0,4088.0,180,Urban,Yes
202,Male,Yes,1,Not Graduate,Yes,6669.0,4473.0,9686.0,180,Urban,Yes
203,Male,Yes,1,Graduate,No,3257.0,4.0,1947.0,180,Urban,Yes
204,Male,No,2,Graduate,No,11810.0,1232.0,5040.0,180,Rural,Yes
205,Male,No,1,Not Graduate,Yes,9029.0,1879.0,5135.0,180,Rural,Yes
206,Female,Yes,0,Graduate,No,5320.0,3888.0,2774.0,360,Rural,Yes
207,Male,No,1,Graduate,No,9347.0,1335.0,2496.0,360,Semiurban,No
208,Female,Yes,1,Graduate,Yes,5637.0,4382.0,6982.0,360,Rural,Yes
209,Male,No,2,Not Graduate,Yes,1841.0,4191.0,8509.0,180,Rural,No
210,Female,No,2,Not Graduate,Yes,6107.0,3488.0,4884.0,180,Rural,No
211,Male,Yes,2,Graduate,No,7990.0,146.0,5573.0,180,Semiurban,Yes
212,Female,No,1,Graduate,Yes,9329.0,1208.0,255.0,360,Urban,Yes
213,Female,No,2,Not Graduate,Yes,9648.0,2450.0,4057.0,180,Rural,No
214,Male,Yes,2,Not Graduate,Yes,4319.0,4391.0,5021.0,180,Semiurban,Yes
215,Female,Yes,3,Not Graduate,Yes,11378.0,2665.0,373.0,180,Rural,No
216,Female,Yes,3,Not Graduate,Yes,10106.0,4583.0,1238.0,180,Rural,No
217,Female,Yes,1,Graduate,No,8896.0,759.0,4406.0,180,Semiurban,No
218,Female,Yes,3,Graduate,No,3070.0,4897.0,5949.0,180,Semiurban,No
219,Male,Yes,1,Not Graduate,No,1528.0,3172.0,1898.0,180,Semiurban,No
220,Female,Yes,1,Graduate,Yes,3656.0,2627.0,5021.0,360,Urban,No
221,Male,No,0,Not Graduate,No,8006.0,2846.0,9941.0,180,Urban,No
222,Female,Yes,2,Graduate,Yes,2513.0,3062.0,3336.0,180,Semiurban,Yes
223,Female,No,2,Graduate,Yes,6542.0,1213.0,2661.0,180,Rural,Yes
224,Male,Yes,0,Not Graduate,Yes,8145.0,2792.0,5021.0,360,Urban,No
225,Female,Yes,1,Not Graduate,No,2270.0,2960.0,7409.0,180,Semiurban,No
226,Female,Yes,2,Not Graduate,Yes,11639.0,3010.0,6957.0,360,Semiurban,Yes
227,Male,No,2,Not Graduate,No,6056.0,3581.0,5021.0,180,Urban,Yes
228,Female,No,3,Not Graduate,No,8664.0,718.0,884.0,180,Urban,Yes
229,Male,Yes,3,Graduate,Yes,11754.0,4337.0,532.0,360,Urban,Yes
230,Female,Yes,1,Not Graduate,No,4884.0,1961.0,7663.0,360,Urban,Yes
231,Female,No,0,Not Graduate,Yes,7891.0,632.0,1781.0,180,Urban,No
232,Female,No,0,Not Graduate,No,5058.0,3361.0,6907.0,360,Rural,Yes
233,Female,Yes,1,Graduate,No,2928.0,4935.0,7513.0,180,Semiurban,Yes
234,Female,Yes,1,Graduate,No,6669.0,2707.0,8495.0,360,Semiurban,No
235,Female,Yes,1,Graduate,Yes,2753.0,4812.0,3124.0,360,Semiurban,Yes
236,Male,No,3,Graduate,No,10708.0,1820.0,7861.0,180,Urban,No
237,Female,No,0,Graduate,No,2037.0,3622.0,3040.0,180,Rural,No
238,Male,Yes,2,Graduate,No,5818.0,1435.0,5862.0,180,Semiurban,No
239,Male,Yes,0,Graduate,No,6644.0,4927.0,5829.0,180,Semiurban,Yes
240,Male,No,3,Not Graduate,Yes,3625.0,834.0,9658.0,180,Semiurban,No
241,Male,Yes,0,Not Graduate,Yes,6563.0,2774.0,8248.0,360,Urban,No
242,Male,Yes,3,Not Graduate,Yes,10298.0,4057.0,3828.0,360,Rural,Yes
243,Female,No,0,Graduate,Yes,2089.0,2508.0,5302.0,180,Rural,No
244,Female,Yes,1,Not Graduate,Yes,10589.0,2393.0,8574.0,360,Urban,No
245,Male,Yes,1,Graduate,No,10423.0,2253.0,5021.0,180,Semiurban,Yes
246,Female,No,0,Graduate,Yes,8802.0,3632.0,9983.0,360,Urban,Yes
247,Female,Yes,3,Graduate,No,5308.0,847.0,8826.0,360,Urban,No
248,Male,Yes,2,Not Graduate,No,7724.0,397.0,297.0,180,Semiurban,No
249,Female,Yes,0,Graduate,No,6571.0,4876.0,8257.0,180,Rural,No
250,Male,Yes,2,Graduate,No,4539.0,2627.0,4342.0,360,Semiurban,Yes
251,Female,No,1,Graduate,Yes,4494.0,2223.0,6549.0,360,Semiurban,Yes
252,Male,No,3,Not Graduate,Yes,2201.0,2627.0,4030.0,180,Urban,No
253,Male,No,1,Graduate,No,11925.0,2627.0,5591.0,360,Semiurban,No
254,Female,Yes,0,Not Graduate,Yes,10415.0,3568.0,4943.0,360,Semiurban,No
255,Female,Yes,3,Graduate,Yes,5839.0,1776.0,2974.0,180,Urban,No
256,Female,Yes,3,Graduate,No,9701.0,881.0,7941.0,360,Semiurban,Yes
257,Male,No,2,Graduate,No,3103.0,202.0,2506.0,180,Urban,Yes
258,Male,Yes,3,Not Graduate,Yes,2435.0,1962.0,466.0,360,Rural,Yes
259,Male,Yes,2,Not Graduate,Yes,7681.0,3851.0,5425.0,180,Rural,Yes
260,Male,Yes,0,Not Graduate,Yes,2936.0,4974.0,9036.0,360,Semiurban,Yes
261,Male,No,0,Graduate,No,9716.0,2627.0,9738.0,360,Urban,No
262,Male,No,3,Graduate,Yes,5664.0,2894.0,8439.0,360,Rural,Yes
263,Female,No,0,Graduate,No,7484.0,2627.0,627.0,180,Semiurban,Yes
264,Female,Yes,3,Not Graduate,Yes,4610.0,4495.0,2807.0,180,Semiurban,No
265,Male,Yes,0,Graduate,Yes,10257.0,2138.0,2394.0,180,Semiurban,Yes
266,Female,Yes,3,Graduate,No,4523.0,1695.0,8613.0,360,Semiurban,No
267,Male,No,2,Graduate,No,4831.0,1083.0,7035.0,360,Semiurban,No
268,Female,No,2,Not Graduate,No,5498.0,4298.0,2767.0,180,Rural,Yes
269,Female,No,0,Graduate,No,6794.0,1173.0,3236.0,360,Rural,Yes
270,Male,No,0,Not Graduate,No,6014.0,4777.0,5021.0,180,Semiurban,Yes
271,Male,Yes,3,Not Graduate,No,7831.0,3698.0,6679.0,180,Semiurban,No
272,Male,Yes,3,Not Graduate,No,11827.0,4792.0,3868.0,180,Semiurban,Yes
273,Male,Yes,2,Graduate,Yes,4970.0,2558.0,1664.0,360,Rural,No
274,Male,Yes,2,Graduate,No,6669.0,4634.0,4718.0,360,Rural,Yes
275,Female,Yes,3,Graduate,Yes,5417.0,3624.0,3143.0,360,Semiurban,Yes
276,Male,No,2,Not Graduate,No,11927.0,4606.0,4058.0,180,Rural,Yes
277,Male,Yes,3,Graduate,No,7312.0,4349.0,3824.0,360,Rural,No
278,Male,Yes,3,Not Graduate,No,9098.0,4708.0,5021.0,180,Semiurban,No
279,Male,No,3,Graduate,No,2561.0,3871.0,6280.0,360,Urban,No
280,Female,No,3,Graduate,No,11037.0,3563.0,553.0,180,Semiurban,No
281,Female,No,1,Graduate,No,6177.0,759.0,4152.0,360,Semiurban,No
282,Male,Yes,0,Graduate,No,3862.0,2181.0,4976.0,360,Rural,Yes
283,Male,No,3,Graduate,Yes,7546.0,4902.0,5840.0,360,Urban,No
284,Male,Yes,3,Graduate,Yes,10792.0,1505.0,7136.0,180,Urban,No
285,Male,Yes,0,Not Graduate,Yes,5918.0,2627.0,4988.0,360,Semiurban,No
286,Female,Yes,3,Graduate,Yes,4315.0,1852.0,5021.0,180,Semiurban,Yes
287,Female,No,1,Graduate,Yes,7293.0,2617.0,3892.0,360,Semiurban,No
288,Female,No,0,Not Graduate,No,6410.0,4293.0,4538.0,180,Urban,Yes
289,Female,No,1,Graduate,Yes,4774.0,4429.0,4972.0,360,Urban,Yes
290,Female,Yes,1,Not Graduate,No,2309.0,1175.0,3479.0,360,Rural,Yes
291,Male,No,1,Not Graduate,No,4387.0,4895.0,8640.0,360,Semiurban,No
292,Female,Yes,0,Not Graduate,No,3278.0,4701.0,7771.0,180,Urban,No
293,Male,No,3,Graduate,No,1927.0,2709.0,5287.0,180,Rural,No
294,Male,No,3,Not Graduate,Yes,10378.0,4459.0,4044.0,180,Urban,Yes
295,Male,Yes,3,Graduate,No,8700.0,2663.0,6903.0,360,Rural,Yes
296,Male,Yes,1,Graduate,No,8323.0,4144.0,4317.0,360,Semiurban,No
297,Female,Yes,1,Not Graduate,Yes,6669.0,3228.0,9199.0,360,Rural,No
298,Male,No,2,Graduate,Yes,10676.0,796.0,1246.0,360,Rural,Yes
299,Female,No,1,Graduate,Yes,2797.0,4942.0,1758.0,180,Semiurban,No
300,Female,Yes,1,Not Graduate,No,3876.0,2936.0,8845.0,180,Semiurban,No
301,Male,Yes,3,Not Graduate,Yes,9480.0,2321.0,3123.0,360,Urban,Yes
302,Female,Yes,1,Not Graduate,Yes,10014.0,1987.0,6114.0,180,Semiurban,No
303,Female,No,3,Graduate,Yes,5241.0,4683.0,6235.0,360,Rural,Yes
304,Female,Yes,1,Not Graduate,No,10961.0,2627.0,8342.0,180,Urban,No
305,Female,Yes,0,Not Graduate,Yes,7265.0,3033.0,5021.0,180,Semiurban,Yes
306,Male,Yes,2,Not Graduate,Yes,8305.0,919.0,5021.0,180,Urban,No
307,Female,Yes,1,Graduate,Yes,2768.0,3893.0,1954.0,180,Urban,No
308,Male,No,0,Graduate,No,7900.0,323.0,8701.0,360,Urban,No
309,Male,Yes,3,Graduate,Yes,9905.0,3110.0,2693.0,180,Urban,Yes
310,Male,No,2,Graduate,No,6669.0,3587.0,3736.0,180,Rural,No
311,Male,Yes,3,Not Graduate,Yes,10699.0,3484.0,4370.0,360,Urban,Yes
312,Male,No,0,Not Graduate,Yes,9825.0,4317.0,6536.0,180,Rural,Yes
313,Female,Yes,1,Not Graduate,No,2211.0,4494.0,6184.0,180,Rural,No
314,Male,Yes,2,Graduate,Yes,11878.0,1015.0,9797.0,180,Semiurban,No
315,Female,No,1,Not Graduate,Yes,4516.0,4950.0,4505.0,180,Semiurban,Yes
316,Male,Yes,2,Not Graduate,No,6669.0,3246.0,5021.0,360,Semiurban,Yes
317,Female,Yes,0,Graduate,No,1856.0,2296.0,2775.0,180,Urban,Yes
318,Female,Yes,1,Graduate,Yes,4992.0,4370.0,5881.0,360,Rural,No
